,name,price,original_price,reviews,Rating,Bank_offers
0,"GOBOULT Tenet 75Hrs Battery, App Support, Dual Pairing,...","₹1,299","₹5,499",N/A,N/A,N/A
1,Caidea TW121 Pro Pods Upto 40 Hrs Playtime* Type C Fast...,₹265,"₹1,299",(923),3.5,Super Deals
2,"BeastBass CMT Buds 2 ENC, Ultra Bass Technology 2.0, 55...",₹327,"₹2,999",(339),4.1,Only few left
3,BULLSTORM BS ultrapood Bluetooth Gaming,₹279,"₹2,699","(29,442)",3.4,Bank Offer
4,TECHIO Black Earbuds | True Wireless Stereo | Noise Can...,₹235,"₹1,980","(11,657)",3.6,Only few left
5,"GOBOULT Tenet 75Hrs Battery, App Support, Dual Pairing,...","₹1,299","₹5,499",N/A,N/A,N/A
6,myxes New Edition TWS M19 Gaming Earbuds Bluetooth 5.0 ...,₹299,"₹1,999","(69,905)",3.6,Bank Offer
7,"PARADISEECOM Max UltraPods Bluetooth Earbuds, Transpare...",₹430,₹699,N/A,N/A,Only 2 left
8,"Earboss 4 Mics Auto AI ENC , 120 HRS Playback Bluetooth",₹419,"₹3,499","(2,571)",3.8,Bank Offer
9,"MAGENESE M19 Earbuds/TWS/buds 5.1 with 280H Playtime, B...",₹292,"₹1,932",(925),3.7,Only few left
10,"Caidea TW500 Tube Upto 50H Playtime*, ENC, Fast Chargin...",₹300,"₹2,999","(16,594)",3.7,Hot Deal
11,"TRIGGR Kraken X1 with Battery Display, 40ms Latency, Qu...",₹699,"₹3,999","(88,543)",4,Super Deals
12,"boAt Airdopes Alpha,35H Battery, 13mm Drivers,ENx, Stre...",₹799,"₹3,490","(7,19,265)",4,Super Deals
13,TECHIO AirBeats Wireless Earbuds with Dual Mic ENC for ...,₹572,"₹4,999",(912),3.7,Only few left
14,"realme Buds T110 (RMA2306) with AI ENC for calls, 38 ho...","₹1,099","₹2,999","(4,39,861)",4.2,Hot Deal
15,"BITWEAVE Airpox pro 2 with B205 Driver (USB-C) , Spatia...",₹380,"₹2,000",N/A,N/A,Only few left
16,"GOBOULT W40 with 4 Mic ENC, 48H Battery Life, Low Laten...",₹799,"₹2,999","(1,70,536)",4.1,Super Deals
17,Caidea TWS8 Sugar V5.4 Upto 30Hrs Playtime* Type C Fast...,₹299,"₹2,399",(923),3.5,Super Deals
18,"OnePlus Nord Buds 3r TWS Earbud, 10min charge for 8hr M...","₹1,499","₹1,999","(3,62,241)",4.4,Hot Deal
19,TECHBROS New Edition TWS M19 PRO with Power Bank Upto 4...,₹295,"₹1,999","(1,091)",3.7,Only few left
20,"GOBOULT Z40 with ENC Mic, 60Hr Battery, Metal Finish, L...",₹999,"₹4,999","(4,83,289)",4.1,Bank Offer
21,Aroma NB121 Pods Upto 40 Hours Playtime* Type C Fast Ch...,₹268,"₹1,299","(1,07,050)",3.6,Bank Offer
22,"boAt Airdopes Alpha,35H Battery, 13mm Drivers,ENx, Stre...",₹799,"₹3,490","(7,19,265)",4,Bank Offer
23,myxes Tws Ecouteur Headsets Earphones Wireless Earbuds ...,₹299,"₹1,999","(10,561)",3.7,Bank Offer
24,"GWALBROS New White Bluetooth Earbuds, True Wireless Hea...",₹242,"₹1,999","(4,353)",3.6,Only few left
25,PARADISEECOM (2nd generation) ANC Deep Bess Bluetooth,₹621,₹699,N/A,N/A,Only 2 left
26,"GOBOULT Tenet 75Hrs Battery, App Support, Dual Pairing,...","₹1,299","₹5,499",N/A,N/A,N/A
27,"Mivi Duopods B1 (Just Launched)45Hrs Playtime, AI ENC f...",₹599,"₹2,999","(45,742)",4.1,Bank Offer
28,"realme Buds T110 (RMA2306) with AI ENC for calls, 38 ho...","₹1,099","₹2,999","(4,39,861)",4.2,Hot Deal
29,myxes Earbuds Bluetooth V5.1 True Wireless stereo Bluet...,₹299,"₹1,999","(2,991)",3.6,Bank Offer
30,"TRIGGR Ultrabuds N3 with Crisp Calling, 50H Playtime, 1...",₹699,"₹1,999","(9,150)",4.1,Bank Offer
