,name,price,original_price,reviews,Rating,Bank_offers,discount_percent
0,"GOBOULT Tenet 75Hrs Battery, App Support, Dual Pairing,...",1299.0,5499.0,173.0,4.0,No Offer,76.37752318603383
1,Caidea TW121 Pro Pods Upto 40 Hrs Playtime* Type C Fast...,265.0,1299.0,923.0,3.5,Super Deals,79.5996920708237
2,"BeastBass CMT Buds 2 ENC, Ultra Bass Technology 2.0, 55...",327.0,2999.0,339.0,4.1,Only few left,89.09636545515171
3,BULLSTORM BS ultrapood Bluetooth Gaming,279.0,2699.0,173.0,3.4,Bank Offer,89.6628380881808
4,TECHIO Black Earbuds | True Wireless Stereo | Noise Can...,235.0,1980.0,173.0,3.6,Only few left,88.13131313131312
5,"GOBOULT Tenet 75Hrs Battery, App Support, Dual Pairing,...",1299.0,5499.0,173.0,4.0,No Offer,76.37752318603383
6,myxes New Edition TWS M19 Gaming Earbuds Bluetooth 5.0 ...,299.0,1999.0,173.0,3.6,Bank Offer,85.04252126063031
7,"PARADISEECOM Max UltraPods Bluetooth Earbuds, Transpare...",430.0,699.0,173.0,4.0,Only 2 left,38.483547925608015
8,"Earboss 4 Mics Auto AI ENC , 120 HRS Playback Bluetooth",419.0,3499.0,173.0,3.8,Bank Offer,88.0251500428694
9,"MAGENESE M19 Earbuds/TWS/buds 5.1 with 280H Playtime, B...",292.0,1932.0,925.0,3.7,Only few left,84.88612836438924
10,"Caidea TW500 Tube Upto 50H Playtime*, ENC, Fast Chargin...",300.0,2999.0,173.0,3.7,Hot Deal,89.99666555518506
11,"TRIGGR Kraken X1 with Battery Display, 40ms Latency, Qu...",699.0,3999.0,173.0,4.0,Super Deals,82.52063015753939
12,"boAt Airdopes Alpha,35H Battery, 13mm Drivers,ENx, Stre...",799.0,3490.0,173.0,4.0,Super Deals,77.10601719197707
13,TECHIO AirBeats Wireless Earbuds with Dual Mic ENC for ...,572.0,4999.0,912.0,3.7,Only few left,88.55771154230845
14,"realme Buds T110 (RMA2306) with AI ENC for calls, 38 ho...",1099.0,2999.0,173.0,4.2,Hot Deal,63.354451483827944
15,"BITWEAVE Airpox pro 2 with B205 Driver (USB-C) , Spatia...",380.0,2000.0,173.0,4.0,Only few left,81.0
16,"GOBOULT W40 with 4 Mic ENC, 48H Battery Life, Low Laten...",799.0,2999.0,173.0,4.1,Super Deals,73.35778592864288
17,Caidea TWS8 Sugar V5.4 Upto 30Hrs Playtime* Type C Fast...,299.0,2399.0,923.0,3.5,Super Deals,87.53647353063776
18,"OnePlus Nord Buds 3r TWS Earbud, 10min charge for 8hr M...",1499.0,1999.0,173.0,4.4,Hot Deal,25.012506253126567
19,TECHBROS New Edition TWS M19 PRO with Power Bank Upto 4...,295.0,1999.0,173.0,3.7,Only few left,85.24262131065534
20,"GOBOULT Z40 with ENC Mic, 60Hr Battery, Metal Finish, L...",999.0,4999.0,173.0,4.1,Bank Offer,80.01600320064013
21,Aroma NB121 Pods Upto 40 Hours Playtime* Type C Fast Ch...,268.0,1299.0,173.0,3.6,Bank Offer,79.36874518860661
22,"boAt Airdopes Alpha,35H Battery, 13mm Drivers,ENx, Stre...",799.0,3490.0,173.0,4.0,Bank Offer,77.10601719197707
23,myxes Tws Ecouteur Headsets Earphones Wireless Earbuds ...,299.0,1999.0,173.0,3.7,Bank Offer,85.04252126063031
24,"GWALBROS New White Bluetooth Earbuds, True Wireless Hea...",242.0,1999.0,173.0,3.6,Only few left,87.89394697348675
25,PARADISEECOM (2nd generation) ANC Deep Bess Bluetooth,621.0,699.0,173.0,4.0,Only 2 left,11.158798283261802
26,"GOBOULT Tenet 75Hrs Battery, App Support, Dual Pairing,...",1299.0,5499.0,173.0,4.0,No Offer,76.37752318603383
27,"Mivi Duopods B1 (Just Launched)45Hrs Playtime, AI ENC f...",599.0,2999.0,173.0,4.1,Bank Offer,80.02667555851951
28,"realme Buds T110 (RMA2306) with AI ENC for calls, 38 ho...",1099.0,2999.0,173.0,4.2,Hot Deal,63.354451483827944
29,myxes Earbuds Bluetooth V5.1 True Wireless stereo Bluet...,299.0,1999.0,173.0,3.6,Bank Offer,85.04252126063031
30,"TRIGGR Ultrabuds N3 with Crisp Calling, 50H Playtime, 1...",699.0,1999.0,173.0,4.1,Bank Offer,65.03251625812906
